t,type,op,device
370,time,post,mqtt
9,time,post,mqtt
644,time,post,mqtt
367,time,post,mqtt
1554,time,post,mqtt
432,time,post,mqtt
927,time,post,mqtt
342,time,post,mqtt
1960,time,post,mqtt
9,time,post,mqtt
861,time,post,mqtt
7,time,post,mqtt
343,time,post,mqtt
8,time,post,mqtt
702,time,post,mqtt
335,time,post,mqtt
338,time,post,mqtt
353,time,post,mqtt
372,time,post,mqtt
194,time,post,mqtt
340,time,post,mqtt
14,time,post,mqtt
340,time,post,mqtt
5203,time,post,mqtt
670,time,post,mqtt
357,time,post,mqtt
374,time,post,mqtt
4,time,post,mqtt
340,time,post,mqtt
9,time,post,mqtt
342,time,post,mqtt
4,time,post,mqtt
357,time,post,mqtt
41,time,post,mqtt
586,time,post,mqtt
4,time,post,mqtt
342,time,post,mqtt
8,time,post,mqtt
613,time,post,mqtt
15,time,post,mqtt
354,time,post,mqtt
8,time,post,mqtt
345,time,post,mqtt
338,time,post,mqtt
701,time,post,mqtt
10,time,post,mqtt
649,time,post,mqtt
5,time,post,mqtt
343,time,post,mqtt
374,time,post,mqtt
341,time,post,mqtt
9,time,post,mqtt
415,time,post,mqtt
4207,time,post,mqtt
433,time,post,mqtt
9,time,post,mqtt
2935,time,post,mqtt
7,time,post,mqtt
595,time,post,mqtt
4,time,post,mqtt
481,time,post,mqtt
12,time,post,mqtt
371,time,post,mqtt
15,time,post,mqtt
3016,time,post,mqtt
357,time,post,mqtt
337,time,post,mqtt
15,time,post,mqtt
2628,time,post,mqtt
735,time,post,mqtt
513,time,post,mqtt
384,time,post,mqtt
356,time,post,mqtt
8,time,post,mqtt
349,time,post,mqtt
20,time,post,mqtt
1488,time,post,mqtt
16,time,post,mqtt
1238,time,post,mqtt
52,time,post,mqtt
340,time,post,mqtt
343,time,post,mqtt
456,time,post,mqtt
364,time,post,mqtt
340,time,post,mqtt
22,time,post,mqtt
357,time,post,mqtt
342,time,post,mqtt
650,time,post,mqtt
34,time,post,mqtt
442,time,post,mqtt
2,time,post,mqtt
343,time,post,mqtt
389,time,post,mqtt
342,time,post,mqtt
344,time,post,mqtt
442,time,post,mqtt
4,time,post,mqtt
1195,time,post,mqtt
7,time,post,mqtt
1596,time,post,mqtt
8,time,post,mqtt
1779,time,post,mqtt
344,time,post,mqtt
575,time,post,mqtt
26,time,post,mqtt
1786,time,post,mqtt
1422,time,post,jcl
132,time,post,jcl
66,time,post,jcl
1125,time,post,jcl
80,time,post,jcl
540,time,post,jcl
12,time,post,jcl
153,time,post,jcl
58,time,post,jcl
511,time,post,jcl
282,time,post,jcl
316,time,post,jcl
436,time,post,jcl
291,time,post,jcl
1355,time,post,jcl
10,time,post,jcl
53,time,post,jcl
235,time,post,jcl
327,time,post,jcl
10,time,post,jcl
446,time,post,jcl
611,time,post,jcl
36,time,post,jcl
